Datum;Zeit;Text;Ra;Rz;Rmax;Rt;Pt;Wt
31.12.01;23:14:32;1;0.34;2.20;2.96;0.21;0.97;0.76
31.12.01;23:15:01;2;0.36;2.45;3.19;0.24;0.97;0.79
31.12.01;23:15:33;3;0.35;2.49;3.08;0.27;1.00;0.72
31.12.01;23:16:01;4;0.36;2.37;3.07;0.25;1.10;0.76
31.12.01;23:16:29;5;0.32;2.46;2.94;0.29;0.85;0.77
31.12.01;23:16:57;6;0.34;2.30;2.96;0.18;0.87;0.83
31.12.01;23:17:23;7;0.32;2.36;2.99;0.20;0.96;0.84
31.12.01;23:17:49;8;0.30;2.38;2.93;0.20;0.78;0.84
31.12.01;23:18:12;9;0.32;2.35;3.00;0.25;0.83;0.80
31.12.01;23:18:38;10;0.36;2.44;3.32;0.29;0.95;0.77
