Dateikommentar: 			
Zeit in s	Kraft Fx in N	Kraft Fy in N	Kraft Fz in N
0.064000003	-0.06	0.06	0.24
0.074000004	0	0.06	0.24
0.084000004	0	0.06	0.24
0.094000004	0.06	0	0
0.104000005	0.06	-0.06	-0.24
0.114000005	0.12	-0.06	-0.24
0.124000006	0.06	-0.06	-0.24
0.134000006	0.12	-0.06	-0.24
0.144000007	0.12	-0.06	-0.24
0.154000007	0.12	-0.06	-0.24
0.164000008	0.06	-0.06	-0.24
0.174000008	0.06	-0.06	-0.24
0.184000009	0	-0.06	-0.24
0.194000009	0.12	-0.06	-0.24
0.20400001	0.06	-0.06	-0.24
0.21400001	0.12	-0.12	-0.24
0.224000011	0.06	-0.06	-0.24
0.234000011	0.12	-0.12	-0.24
0.244000012	0	-0.12	-0.24
0.254000012	0.06	-0.06	-0.24
0.264000013	0.06	-0.06	-0.24
0.274000013	0.12	-0.06	-0.24
0.284000013	0.06	-0.06	-0.24
0.294000014	0.06	-0.12	-0.24
0.304000014	0.06	-0.06	-0.24
0.314000015	0.12	-0.06	-0.24
0.324000015	0.06	-0.06	-0.24
0.334000016	0.12	-0.06	-0.24
0.344000016	0.06	-0.06	-0.24
0.354000017	0	-0.12	-0.24
0.364000017	0.06	-0.06	-0.24
0.374000018	0.12	-0.06	-0.24
0.384000018	0.12	-0.06	-0.24
0.394000019	0.06	-0.06	-0.24
0.404000019	0.06	-0.12	-0.24
0.41400002	0.06	-0.06	-0.24
0.42400002	0.06	-0.06	-0.24
0.434000021	0.06	-0.06	-0.24
0.444000021	0.12	-0.06	-0.24
0.454000022	0.06	-0.06	-0.24
0.464000022	0.06	-0.12	-0.24
0.474000023	0.12	-0.06	-0.24
0.484000023	0.12	-0.12	-0.24
0.494000023	0.06	-0.06	-0.24
0.504000024	0.06	-0.06	-0.24
0.514000024	0	-0.12	-0.24
0.524000025	0.06	-0.06	0
0.534000025	0.12	-0.12	-0.24
0.544000026	0.06	-0.06	-0.24
0.554000026	0.06	-0.06	-0.24
0.564000027	0.06	-0.06	-0.24
0.574000027	0.06	-0.06	-0.24
0.584000028	0.06	-0.06	-0.24
0.594000028	0.12	-0.06	-0.24
0.604000029	0.06	-0.06	-0.24
0.614000029	0	-0.12	-0.24
0.62400003	0	-0.12	-0.24
0.63400003	0.12	-0.06	-0.24
0.644000031	0.06	-0.06	-0.24
0.654000031	0.12	-0.06	-0.24
0.664000032	0.06	-0.12	-0.24
0.674000032	0	-0.12	-0.24
0.684000032	0.06	-0.06	-0.24
0.694000033	0.06	-0.06	-0.24
0.704000033	0.06	-0.06	-0.24
0.714000034	0	-0.12	-0.24
0.724000034	0	-0.12	-0.24
0.734000035	0.06	-0.06	-0.24
0.744000035	0.12	-0.06	-0.24
0.754000036	0.06	-0.06	-0.24
0.764000036	0	-0.12	-0.24
0.774000037	0.06	-0.06	-0.24
0.784000037	0.12	-0.12	-0.24
0.794000038	0.12	-0.06	-0.24
0.804000038	0.06	-0.12	-0.24
0.814000039	0	-0.12	-0.24
0.824000039	0	-0.06	-0.24
0.83400004	0.12	-0.06	-0.24
0.84400004	0.06	-0.06	0
0.854000041	0	-0.12	-0.24
0.864000041	0	-0.06	0
0.874000042	0	-0.06	-0.24
0.884000042	0	-0.12	-0.24
0.894000042	-0.06	-0.06	-0.24
0.904000043	-0.18	-0.12	-0.24
0.914000043	-0.18	-0.12	-0.24
0.924000044	-0.18	-0.12	-0.24
0.934000044	-0.12	-0.12	-0.24
0.944000045	-0.18	-0.12	-0.24
0.954000045	-0.18	-0.12	-0.24
0.964000046	-0.06	-0.06	-0.24
0.974000046	0	-0.12	-0.24
0.984000047	0	-0.06	-0.24
0.994000047	-0.06	-0.06	-0.24
1.004000048	0	-0.12	-0.24
1.014000048	0.12	-0.06	-0.24
1.024000049	0.18	-0.06	-0.24
1.034000049	0.12	-0.12	-0.24
